zip,city,province,district,lon,lat
20000,Kandy,Central Province,Kandy,7.2955,80.6356
20032,Halloluwa,Central Province,Kandy,7.2031,80.3386
20034,Yatihalagala,Central Province,Kandy,7.2932,80.5982
20042,lhala Kobbekaduwa,Central Province,Kandy,7.3154,80.5887
20044,Sangarajapura,Central Province,Kandy,7.3154,80.5887
20048,Kulugammana,Central Province,Kandy,7.3154,80.5887
20052,Uduwa,Central Province,Kandy,7.3637,80.4845
20060,Hataraliyadda,Central Province,Kandy,7.3369,80.4658
20062,Aludeniya,Central Province,Kandy,7.3686,80.4672
20068,Dedunupitiya,Central Province,Kandy,7.3353,80.4313
20072,Nugawela,Central Province,Kandy,7.3333,80.6
20080,Werellagama,Central Province,Kandy,7.3167,80.5833
20084,Pallekotuwa,Central Province,Kandy,7.3373,80.5663
20086,Kumburegama,Central Province,Kandy,7.358,80.5493
20092,Harankahawa,Central Province,Kandy,7.4012,80.5289
20094,Udahingulwala,Central Province,Kandy,7.4012,80.5289
20095,Gallellagama,Central Province,Kandy,7.4012,80.5289
20100,Galagedara,Central Province,Kandy,7.373,80.5206
20106,Poholiyadda,Central Province,Kandy,7.3472,80.5208
20108,Wettawa,Central Province,Kandy,7.3526,80.5147
20109,Minigamuwa,Central Province,Kandy,7.3376,80.5026
20112,Pujapitiya,Central Province,Kandy,7.3742,80.586
20118,Pattiya Watta,Central Province,Kandy,7.3742,80.586
20120,Medawala Harispattuwa,Central Province,Kandy,7.3449,80.6814
20126,Dolapihilla,Central Province,Kandy,7.3899,80.5794
20128,Rambukwella,Central Province,Kandy,7.3,80.7833
20132,Batugoda,Central Province,Kandy,7.362,80.5891
20134,Watagoda Harispattuwa,Central Province,Kandy,7.356,80.6051
20136,Ambatenna,Central Province,Kandy,7.3501,80.6211
20140,Alawatugoda,Central Province,Kandy,7.4042,80.6087
20142,Wilanagama,Central Province,Kandy,7.4042,80.6087
20150,Ankumbura,Central Province,Kandy,7.4333,80.5667
20152,Galhinna,Central Province,Kandy,7.4162,80.5639
20154,Batagolladeniya,Central Province,Kandy,7.4173,80.5617
20160,Ampitiya,Central Province,Kandy,7.2715,80.656
20164,Uduwela,Central Province,Kandy,7.2754,80.6697
20166,Tennekumbura,Central Province,Kandy,7.2809,80.6531
20168,Kundasale,Central Province,Kandy,7.2737,80.7001
20170,Menikhinna,Central Province,Kandy,7.3184,80.6995
20172,Lunuketiya Maditta,Central Province,Kandy,7.3332,80.7127
20176,Naranpanawa,Central Province,Kandy,7.3481,80.7259
20180,Rajawella,Central Province,Kandy,7.2959,80.7361
20184,Gomagoda,Central Province,Kandy,7.3245,80.7313
20186,Kengalla,Central Province,Kandy,7.2945,80.711
20189,Gurudeniya,Central Province,Kandy,7.2642,80.6859
20194,Nattarampotha,Central Province,Kandy,7.3022,80.6762
20196,Pilawala,Central Province,Kandy,7.3022,80.6762
20198,Ketawala Leula,Central Province,Kandy,7.3022,80.6762
20200,Talatuoya,Central Province,Kandy,7.2507,80.6899
20202,Etulgama,Central Province,Kandy,7.2425,80.6687
20204,Nugaliyadda,Central Province,Kandy,7.2291,80.6889
20206,Kapuliyadde,Central Province,Kandy,7.2408,80.6825
20210,Marassana,Central Province,Kandy,7.2251,80.7352
20212,Kolabissa,Central Province,Kandy,7.2278,80.7174
20214,Godamunna,Central Province,Kandy,7.2305,80.6995
20216,Mahamedagama,Central Province,Kandy,7.2278,80.7174
20218,Bawlana,Central Province,Kandy,7.2278,80.7174
20232,Murutalawa,Central Province,Kandy,7.2928,80.572
20234,Yahalatenna,Central Province,Kandy,7.2928,80.572
20250,Polgolla,Central Province,Kandy,7.3308,80.6461
20260,Madawala Bazaar,Central Province,Kandy,7.2574,80.6715
20270,Gunnepana,Central Province,Kandy,7.2574,80.6715
20300,Kadugannawa,Central Province,Kandy,7.2547,80.5242
20306,Ketakumbura,Central Province,Kandy,7.2103,80.5795
20308,Balana,Central Province,Kandy,7.2706,80.4832
20400,Peradeniya,Central Province,Kandy,7.2622,80.5841
20404,Uda Peradeniya,Central Province,Kandy,7.2622,80.5841
20409,Megoda Kalugamuwa,Central Province,Kandy,7.2622,80.5841
20414,Hindagala,Central Province,Kandy,7.2333,80.6
20418,Nillambe,Central Province,Kandy,7.1513,80.6419
20420,Galaha,Central Province,Kandy,7.1979,80.6645
20430,Deltota,Central Province,Kandy,7.1944,80.6917
20438,Handawalapitiya,Central Province,Kandy,7.1944,80.6917
20440,Hewaheta,Central Province,Kandy,7.107,80.7648
20442,Kiribathkumbura,Central Province,Kandy,7.107,80.7648
20450,Pilimatalawa,Central Province,Kandy,7.2689,80.5441
20454,Wattappola,Central Province,Kandy,7.2373,80.5431
20465,Danture,Central Province,Kandy,7.2825,80.5352
20470,Menikdiwela,Central Province,Kandy,7.2892,80.5041
20480,Handessa,Central Province,Kandy,7.2333,80.5833
20482,Leemagahakotuwa,Central Province,Kandy,7.2333,80.5833
20500,Gampola,Central Province,Kandy,7.1643,80.5696
20506,Udahentenna,Central Province,Kandy,7.0969,80.5128
20510,Dolosbage,Central Province,Kandy,7.0808,80.4693
20511,Pattitalawa,Central Province,Kandy,7.1145,80.4699
20512,Meetalawa,Central Province,Kandy,7.0976,80.4696
20524,Hondiyadeniya,Central Province,Kandy,7.1049,80.5917
20526,Muruthagahamulla,Central Province,Kandy,7.1049,80.5917
20532,Doluwa,Central Province,Kandy,7.1794,80.598
20544,Panwilatenna,Central Province,Kandy,7.1574,80.6373
20546,Pupuressa,Central Province,Kandy,7.1262,80.6692
20562,Ulapane,Central Province,Kandy,7.1031,80.5572
20564,Mawatura,Central Province,Kandy,7.1,80.5667
20574,Atabage,Central Province,Kandy,7.1354,80.6091
20578,Paradeka,Central Province,Kandy,7.1123,80.607
20580,Pussellawa,Central Province,Kandy,7.1073,80.6322
20610,Weligalla,Central Province,Kandy,7.1907,80.5865
20620,Gelioya,Central Province,Kandy,7.2157,80.5967
20640,Velamboda,Central Province,Kandy,7.0447,80.5235
20644,Bambaragahaela,Central Province,Kandy,7.0447,80.5235
20650,Nawalapitiya,Central Province,Kandy,7.0534,80.5321
20654,Pasbage,Central Province,Kandy,7.035,80.5244
20656,Gonawalapatana,Central Province,Kandy,7.035,80.5244
20658,Dekinda,Central Province,Kandy,7.0167,80.5167
20662,Mapakanda,Central Province,Kandy,7.0243,80.5504
